State,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico,Foreign Country,year
United States,7550415,"99,663","35,800","193,670","63,179","690,127","211,370","91,384","29,121","64,336","510,925","250,484","58,078","64,970","297,005","120,876","75,032","92,713","92,582","101,180","27,227","198,764","184,534","155,530","108,966","61,833","135,597","36,822","48,659","104,444","46,753","225,514","64,917","481,544","232,663","20,814","184,281","84,309","131,403","272,461","31,416","135,007","29,464","180,407","478,570","94,351","19,151","253,240","215,277","41,042","100,085","22,875","43,300",2362565,2023
Alabama,119421,N/A,780,"4,470","1,584","4,921","1,601",283,330,273,"17,515","19,270",775,105,"3,362","1,488",151,373,"1,806","2,410",0,457,504,"1,858","1,224","8,391","1,983",347,295,"1,456",152,548,600,"2,701","3,656",128,"1,993",481,"1,416","1,341",213,"1,642",62,"12,640","7,504",497,0,"3,171","1,586",311,718,49,415,17824,2023
Alaska,30676,204,N/A,618,159,"4,697","1,087",0,258,220,"1,380",411,"1,023",803,73,486,33,"1,200",781,198,0,201,353,152,611,174,107,936,387,98,18,513,22,"1,232","1,410",156,601,275,"3,187",213,0,211,94,340,980,561,45,"1,331","2,283",0,34,520,192,4859,2023
Arizona,256203,"1,373","2,017",N/A,"1,896","54,222","8,344","1,085",514,74,"12,762","6,326","2,226","5,132","9,030","2,974","6,805","3,383","1,666","2,514",350,"1,972","3,316","6,740","5,582",816,"7,390","2,261","2,694","6,341",612,"2,082","6,397","7,627","3,646",424,"3,091","2,925","10,465","4,780",145,"1,186","1,892","4,498","16,779","5,766",242,"4,441","12,844",40,"4,015","2,501",0,58640,2023
Arkansas,73123,"1,056",17,"1,112",N/A,"6,320","3,878",3,0,49,"4,555","2,117",319,170,"1,591",462,"1,077","2,343",137,"2,321",30,109,220,210,"1,051","1,129","8,714","1,334",251,"1,183",0,806,396,452,"2,433",0,463,"3,904",122,498,0,288,539,"2,959","13,652",362,0,659,"3,093",78,661,0,210,7954,2023
California,422075,"2,123","1,210","21,152","2,092",N/A,"14,784","3,113",772,"4,590","19,149","11,229","8,094","2,646","21,982","4,531","4,250","3,207","2,308","4,522","1,003","10,107","10,101","12,054","2,705","3,133","6,400",656,"2,606","22,218","1,202","12,458","4,784","35,062","8,924",10,"7,434","2,541","22,162","8,730","1,050","5,346",629,"5,343","38,732","10,939","1,012","15,837","32,218","1,125","2,634","1,166","1,119",313560,2023
Colorado,232663,"3,745","1,452","12,378","1,435","26,148",N/A,"1,875",120,"1,319","12,786","6,522","3,347","3,480","8,941","2,612","3,407","4,387","1,015","2,227",628,"3,553","2,885","2,922","3,830",590,"4,858","2,294","4,126","1,896",252,"1,154","6,030","6,295","10,351",582,"6,289","2,980","3,690","5,109",0,"1,813","1,190","4,670","32,150","4,336",327,"9,719","6,010",77,"2,698","2,163",335,34826,2023
Connecticut,94990,788,11,657,80,"4,972",591,N/A,32,327,"7,435","2,514",725,0,"1,522",446,0,363,397,357,601,"1,412","13,428",975,681,364,110,101,252,781,878,"5,379",53,"28,181","1,220",0,414,170,0,"4,858","4,299","1,146",0,"2,508","2,678",84,557,"1,947",654,0,42,0,486,27029,2023
Delaware,39006,12,59,476,372,516,212,369,N/A,430,"1,763",249,0,33,193,0,212,0,0,0,174,"7,829",465,82,180,70,105,235,0,118,0,"4,041",214,"2,552","1,563",0,0,0,0,"13,350",187,385,0,629,400,33,0,882,274,0,342,0,0,6779,2023
District of Columbia,56860,423,0,242,0,"2,976",376,760,111,N/A,"1,856","1,537",53,0,770,"1,010",0,0,168,"1,130","1,190","12,647","2,685","1,490",394,130,365,22,58,56,14,"2,071",48,"4,766","1,423",126,"1,248",476,794,"3,085",369,514,0,622,"2,631",207,86,"7,085",443,100,303,0,226,12382,2023
